rank,code,name,momentum,volatility,volume_ratio,turnover_stability,pvt,clv,score,momentum_norm,volatility_norm,volume_ratio_norm,turnover_stability_norm,pvt_norm,clv_norm
1,601106,中国一重,0.5357422792662418,-0.03390699695149962,3.0162360009756863,0.612117536411337,-0.04933322589951351,0.5473684210526315,83.25562965021957,100.0,38.17395058805466,100.0,38.61688674107038,25.073902543606074,54.73684210526315
2,002046,国机精工,0.5357422792662418,-0.04076701113502419,2.0417599023574184,0.6974909270915907,0.06363028592686004,0.620102214650767,82.78346991543108,100.0,23.648650714648827,59.681439981670906,61.736076388539416,43.47729025455691,62.0102214650767
3,603286,日盈电子,0.5357422792662418,-0.038278684864654786,0.8460597131183774,0.7955707316114636,0.07808408214564573,0.05707196029776772,82.40024188123411,100.0,28.91739860540305,10.209821424665487,88.29617413344602,45.832022427882336,5.7071960297767745
4,002931,锋龙股份,0.5357422792662418,-0.029886647785028357,2.133748216566826,0.4695150227042258,0.0,0.0,81.15412902393764,100.0,46.68658273086298,63.48741980272118,0.0,33.110997607152974,0.0
5,002131,利欧股份,0.5357422792662418,-0.03491066140732813,0.5992942794080901,0.47188469289253554,0.2538328936275551,0.0,81.08337019536889,100.0,36.048805245323365,0.0,0.6417087812603225,74.46404231773546,0.0
6,603171,税友股份,0.5357422792662418,-0.04126506042788337,1.9639483532849125,0.658993213525853,-0.00471694422869412,0.34697217675941155,80.88230670876268,100.0,22.59408797804522,56.46201816532531,51.31086153144591,32.34253926119597,34.69721767594115
7,600343,航天动力,0.5357422792662418,-0.04494801332151915,0.7941034571457253,0.8320343861861921,0.016454743712445378,0.26146788990825703,80.37029251354775,100.0,14.79585407232435,8.06015205080264,98.17056401811452,35.79171302869463,26.146788990825705
8,000593,德龙汇能,0.5357422792662418,-0.04406198551375559,1.218933048959652,0.7197652334574276,0.03634328349756759,1.0,80.24064032458976,100.0,16.67191719109325,25.637307015813043,67.76797823798441,39.03184342790573,100.0
9,603057,紫燕食品,0.5321646754439965,-0.04303061780935764,1.7236959622610217,0.531284250654769,0.10670040842361014,0.6539682539682539,79.73324347786996,99.4797517220564,18.855721012097817,46.52167128480284,16.727161519387277,50.49403531011194,65.39682539682539
10,600151,航天机电,0.5357422792662418,-0.051935804945659,0.6428886505589377,0.8315767201846742,0.08409095686302369,0.0,79.67357927740821,100.0,0.0,1.8036997235735166,98.04662766042763,46.810629082081675,0.0
