rank,code,name,avg_daily_return,volatility,total_return,sharpe_ratio,days
1,001280,中国铀业,0.012392001084011907,0.04056631381598981,0.42822580645161284,0.3054751570532745,52
2,001221,悍高集团,0.009804879861479085,0.06775026601700983,0.5262710061689003,0.144720905730723,136
3,001298,好上好,0.006171171820797236,0.03653032082900212,-0.26168003775365745,0.16893286674607644,803
4,000721,西安饮食,0.005468998140773803,0.03078994601531972,1.1012048192771084,0.17762285578716738,1486
5,000995,皇台酒业,0.005371838900698704,0.03395697807140363,-0.3668,0.15819543451136836,1253
6,001317,三羊马,0.004781074146791919,0.034899883370416405,1.7161458333333335,0.13699398637087404,1019
7,000506,招金黄金,0.004694520515820068,0.030618733287084837,6.038062283737024,0.1533218396660532,1474
8,001337,四川黄金,0.004688748754728961,0.026243248247918804,4.950646298472386,0.17866495452219022,720
9,001309,德明利,0.004680088536963286,0.03740784804865731,7.037362637362637,0.1251098039875424,883
10,000595,*ST宝实,0.00460479057410312,0.033189215207750644,0.9406249999999999,0.13874358116873364,1467
11,000610,西安旅游,0.004542819340947981,0.028498186687061097,0.05308775731310945,0.15940731215051435,1486
12,000716,黑芝麻,0.0045103823203141,0.030760699391223865,0.40740740740740733,0.14662808094672022,1481
13,000670,盈方微,0.004476764689153198,0.035268780015367915,3.0139534883720933,0.12693279118819834,876
14,002640,跨境通,0.004417581436633203,0.03496160450707954,-0.4890885750962773,0.1263552259376044,1484
15,002882,金龙羽,0.0043762721444512735,0.03196380062443033,1.947761194029851,0.13691338510935508,1486
16,002553,南方精工,0.004210180529483564,0.0348010810163917,4.225092250922509,0.1209784410863709,1486
17,001359,平安电工,0.004209233546228496,0.030351369173049928,1.5774193548387099,0.13868348153354565,460
18,002762,*ST金比,0.004142610722264393,0.032693921232840525,0.21071428571428583,0.12670889774161462,1475
19,002177,御银股份,0.004064652245543261,0.03355741101729881,0.5197841726618705,0.12112532291147066,1484
20,000678,襄阳轴承,0.0040579714796555545,0.03111862615202773,0.9827089337175791,0.13040329800649414,1477
21,000615,*ST美谷,0.0039476330075543286,0.032571569966817086,-0.2774049217002237,0.12119873286967917,1481
22,002342,巨力索具,0.0038997154737143097,0.028741790620437562,3.8285714285714287,0.13568102019855785,1478
23,000831,中国稀土,0.0038970834546534993,0.02976515393130062,3.446153846153846,0.13092771042434895,1486
24,002077,大港股份,0.003896283154229347,0.02983809581927811,1.8406040268456374,0.13058082452138234,1484
25,002647,*ST仁东,0.0038575005551857236,0.032126555622264096,-0.38957055214723935,0.1200720239213079,1479
26,000679,大连友谊,0.003826577329119715,0.0330073077860419,1.0530726256983238,0.11593121601810538,1484
27,002031,巨轮智能,0.003822535261337912,0.02969280561331939,2.909547738693467,0.12873607536848003,1486
28,000798,中水渔业,0.003788722987171779,0.032355066625913254,1.004854368932039,0.11709829038452299,1486
29,000006,深振业Ａ,0.0037405860848920714,0.027220301194399964,0.3960843373493976,0.1374189821845771,245
30,002584,西陇科学,0.0036531643267474975,0.032389038223243946,0.7304687499999999,0.11279014528210997,1486
31,000592,平潭发展,0.0036138343700212166,0.029869867557818897,2.756013745704467,0.12098595224856429,1483
32,002269,美邦服饰,0.0036111303891862884,0.0320469686483645,-0.27413127413127414,0.11268243273831705,1486
33,002487,大金重工,0.0035930389166454156,0.03207498696206071,10.686940966010733,0.11201996499313854,1486
34,000428,华天酒店,0.0035548177847182943,0.031075997694544517,0.4486692015209126,0.11439110723522654,1486
35,000993,闽东电力,0.003533462409238211,0.02901612367128041,0.7262872628726288,0.1217758253744818,1486
36,001236,弘业期货,0.0034938357905265572,0.035133034802015774,3.4663677130044843,0.0994458864773645,858
37,002119,康强电子,0.003486601192152801,0.02934211185802689,0.8140077821011673,0.11882584351879222,1486
38,002141,贤丰控股,0.003481910860112182,0.032720992018814246,0.059139784946236486,0.10641214233694742,1484
39,002717,ST岭南,0.003428446845060332,0.03438618564378939,-0.6369426751592356,0.09970419169418857,1481
40,002173,创新医疗,0.003348527821911426,0.03356664743533164,3.776508972267537,0.09975758908787617,1486
41,002896,中大力德,0.003343978721097854,0.0326706112758989,2.929666366095581,0.10235433591549313,1486
42,000524,岭南控股,0.0033051931888182025,0.02992135641559141,0.6031746031746031,0.11046267899459042,1486
43,002248,华东数控,0.00326356012143877,0.03176669540531004,0.7763819095477388,0.10273527289505982,1486
44,002235,安妮股份,0.003243713380007335,0.033721638248185866,0.20298165137614674,0.09619085989043959,1481
45,002703,浙江世宝,0.0032247845706557805,0.03196575707477697,4.226781857451404,0.10088247129927488,1481
46,002865,钧达股份,0.0032111517718274294,0.03743201300278852,4.42632241813602,0.08578624322416785,1486
47,002490,山东墨龙,0.0032026913514853943,0.0310513489822248,1.228947368421053,0.10314177826279818,1484
48,002837,英维克,0.003193070646982797,0.03551185025597991,5.335656213704994,0.08991563728631993,1486
49,000158,常山北明,0.0031759471524690944,0.03428943264166917,1.86628733997155,0.09262174692880812,1486
50,001328,登康口腔,0.003153118283558798,0.030815868732592712,0.025365853658536566,0.10232125243394066,695
51,002828,贝肯能源,0.0031388805855723976,0.027516190736514283,0.25135135135135145,0.11407395070157982,1481
52,002426,胜利精密,0.003127211346490159,0.029875766345803807,0.6569037656903765,0.10467384535993303,1484
53,000422,湖北宜化,0.0031237912068599553,0.028721785232033822,4.844827586206896,0.1087603427720066,1485
54,000564,供销大集,0.0031127036074555764,0.02986190345605788,-0.04184100418410045,0.10423661077184694,1476
55,000620,盈新发展,0.00311161264305623,0.03405142626619052,-0.22167487684729054,0.09137980355747195,1483
56,001339,智微智能,0.0030804587881468662,0.035184316821590074,1.6984676223430548,0.08755204211487236,852
57,002149,西部材料,0.003071927434326787,0.030262136609813372,5.131105398457583,0.10151059305345367,1486
58,000736,*ST中地,0.0030711141490633196,0.03203844416696145,-0.2843273231622746,0.09585715626697944,1485
59,002905,金逸影视,0.003064464731233906,0.030879188109526196,-0.32893157262905165,0.09924045672329455,1486
60,002112,三变科技,0.0030636174065635973,0.03099255946041962,2.6739766081871346,0.09885009369671846,1486
61,000713,国投丰乐,0.0030536017876768924,0.025113791574065306,-0.1960093896713615,0.12159063193111423,1481
62,002528,ST英飞拓,0.0030389061078162547,0.029850810195446827,-0.47547169811320755,0.10180313659559505,1485
63,000929,*ST兰黄,0.003038611300064783,0.03027373535155019,0.4928160919540231,0.10037120509838864,1480
64,002945,华林证券,0.0030383704331684276,0.02578843929505489,0.20983606557377044,0.11781908933709904,1486
65,002207,准油股份,0.003018359834514482,0.030761443638950076,0.9270833333333334,0.09812152738802678,1483
66,002707,众信旅游,0.0030086432257739344,0.029706921907304125,0.18987341772151886,0.10127751488901954,1476
67,002400,省广集团,0.002994409504025015,0.03201596419833959,2.2059701492537314,0.09352863732213665,1486
68,000519,中兵红箭,0.0029940931157247824,0.027650550572424222,1.5759162303664922,0.10828330914722469,1486
69,002366,融发核电,0.002957195259942646,0.033801098702890386,0.10142857142857142,0.08748814013225469,1483
70,002305,*ST南置,0.0029561577420417623,0.03129804330243934,-0.031531531531531654,0.09445183884103585,1475
71,002719,麦趣尔,0.0029561167248019528,0.030457881163744465,-0.1730605285592499,0.09705588871758965,1484
72,002670,国盛证券,0.0029250057108712794,0.027937014335883487,0.21889400921658983,0.10470001109296342,1456
73,002779,中坚科技,0.002923144190527789,0.03357334656576728,4.92289156626506,0.08706740583044359,1486
74,002371,北方华创,0.002918606570053955,0.030365981995122592,4.499097269239449,0.09611434830339897,1486
75,000793,ST华闻,0.002910158936151594,0.032599995233133554,-0.1852941176470588,0.08926869207618181,1485
76,000430,ST张家界,0.0029089575059983324,0.02535858043984351,0.39005736137667285,0.11471294747350155,1482
77,002654,万润科技,0.0029005273247341115,0.03290290925599449,1.7814207650273222,0.08815412953812503,1486
78,000812,陕西金叶,0.002897089518882701,0.02763524915673194,0.3223880597014924,0.10483312462471396,1486
79,002630,ST华西,0.002886832443220219,0.03137447849650581,0.0746887966804978,0.09201212519091677,1485
80,002900,哈三联,0.00288433061343678,0.03174627012006537,0.03378378378378381,0.09085573210736736,1486
81,002261,拓维信息,0.0028803874342914204,0.03321528233051532,2.8864734299516908,0.08671874005554275,1486
82,002612,朗姿股份,0.0028786221634730406,0.03260415085360456,0.8531746031746031,0.08829005166852226,1486
83,002547,春兴精工,0.002876522494067769,0.032338092619505425,-0.5332527206771464,0.08895152005139388,1486
84,002052,同洲电子,0.0028580046933853734,0.02851338007303875,2.778125,0.10023380904208555,1471
85,000799,酒鬼酒,0.0028512842891596215,0.0287109280625836,0.4358333333333333,0.09931007047018611,1486
86,000820,*ST节能,0.002845271451260321,0.031690742907161853,1.0946745562130178,0.08978241562829734,1477
87,001219,青岛食品,0.0028008131332033608,0.026150919874718487,-0.27567829457364346,0.10710189724190386,1052
88,002639,雪人集团,0.002771553404914889,0.03000385282348128,1.402325581395349,0.09237325023624456,1486
89,002059,云南旅游,0.0027690115494785126,0.02575123092031117,0.038000000000000075,0.1075292889123396,1486
90,002178,延华智能,0.0027585564526790155,0.03404669175867041,0.5871121718377088,0.08102274582893991,1486
91,000962,东方钽业,0.002754741955456655,0.02929608788180521,5.588983050847458,0.0940310517421519,1486
92,002520,日发精机,0.002752740938415415,0.03072726248349631,0.007429420505200567,0.08958627342393156,1486
93,002561,徐家汇,0.0027497923158926753,0.02660164874788274,0.06463414634146356,0.10336924383724655,1486
94,002646,天佑德酒,0.00274977202436721,0.02646722873165739,-0.17657992565055766,0.10389346207138846,1486
95,002165,红 宝 丽,0.002710845337923701,0.031032082142869108,1.898148148148148,0.08735621816941565,1486
96,000893,亚钾国际,0.0027108200321914935,0.028665120387574423,8.300653594771243,0.09456859052183024,1475
97,000759,中百集团,0.002700707101740068,0.028137734163319484,-0.06408544726301742,0.09598168374412769,1486
98,002184,海得控制,0.002686016708761223,0.030858812297012168,0.23578751164958053,0.08704212861171233,1479
99,002463,沪电股份,0.0026843924717420632,0.030478598551708168,2.217429968875056,0.08807466876102861,1486
100,000014,沙河股份,0.0026832792379951824,0.028150699591741896,0.5010660980810233,0.09531838557867782,1486
101,000762,西藏矿业,0.0026791406193750257,0.0315942954643458,2.681216931216931,0.08479823904914857,1486
102,002638,勤上股份,0.0026682925204144585,0.029850737951450153,-0.17771883289124665,0.08938782433969383,1473
103,000638,*ST万方,0.002655928176021957,0.030524414367230718,-0.534136546184739,0.08700996337126163,1483
104,002915,中欣氟材,0.002654156918065725,0.03227577272810163,-0.13365420214735294,0.08223372188250735,1486
105,002827,高争民爆,0.002653545622539405,0.029148422580886058,2.7327852004110995,0.09103565090618163,1486
106,002771,真视通,0.002643770103065545,0.0316032981247761,0.392605633802817,0.08365487970994089,1486
107,002716,湖南白银,0.002634101210530059,0.025818795525368005,4.433212996389892,0.1020226217734266,1474
108,002862,实丰文化,0.002618186502984665,0.03482070385125383,-0.1641391614629796,0.07519051062749808,1486
109,002194,武汉凡谷,0.0025966715626410276,0.02869636312965005,-0.3444730077120822,0.09048782770517909,1486
110,002134,天津普林,0.002572866219128596,0.03012893952195158,1.4835978835978836,0.08539518018063785,1486
111,000837,秦川机床,0.0025591156017019064,0.028444319656266787,1.9004629629629626,0.08996930257525383,1484
112,002847,盐津铺子,0.0025588273736245116,0.027679704328028187,0.815068493150685,0.09244417293263747,1486
113,000978,桂林旅游,0.002558634728198337,0.024224520920949833,0.32523364485981315,0.10562168542146813,1486
114,001330,博纳影业,0.0025551920814704844,0.03312934333295208,0.902317880794702,0.07712776120524442,849
115,002240,盛新锂能,0.002554804861777037,0.033906128953934925,4.2278953922789535,0.07534935247984252,1486
116,002598,山东章鼓,0.0025473990219345693,0.028001790150268203,0.6341853035143771,0.09097272025339316,1486
117,002383,合众思壮,0.0025473766262107474,0.03062480412874899,0.1840425531914894,0.0831801769409327,1486
118,002518,科士达,0.002541183803411186,0.03275545732049395,4.154061624649859,0.07758047089824191,1486
119,002922,伊戈尔,0.0025399918211678266,0.03153229143981927,2.0531208499335984,0.08055208502736029,1486
120,002759,天际股份,0.0025337003497495425,0.03557034877488913,3.1951754385964914,0.07123068614773345,1486
121,002459,晶澳科技,0.002528124085930225,0.033250424874152966,0.062937062937063,0.07603283553514674,1486
122,002997,瑞鹄模具,0.0025222322730892067,0.03175323173582025,1.3473333333333335,0.07943230138190696,1323
123,000722,湖南发展,0.002518176246580003,0.02654935506651548,0.9072164948453607,0.09484886696008565,1476
124,002130,沃尔核材,0.0025155592350445907,0.028569071277028072,4.534274193548387,0.0880518379702217,1486
125,002466,天齐锂业,0.00251317733489894,0.0332787445835591,0.777,0.07551899467206885,1486
126,002046,国机精工,0.002510125532022224,0.030648670521994843,5.901470588235295,0.081899980954177,1486
127,000868,安凯客车,0.0024904273371285377,0.029718010189062245,-0.07102803738317756,0.08380195448096128,1484
128,000933,神火股份,0.0024656767395996016,0.027668169146138205,4.527827648114901,0.0891160064323862,1476
129,002902,铭普光磁,0.0024611146265343478,0.03260342172180333,-0.08626609442060092,0.07548639058606824,1478
130,002181,粤 传 媒,0.0024606053442966015,0.027834384171958257,0.8917975567190225,0.08840164485390475,1486
131,002786,银宝山新,0.0024602785224059442,0.033094335533208154,0.03942652329749105,0.07434137844940879,1483
132,002728,特一药业,0.002454461865468284,0.02844454091831819,-0.2768328445747801,0.08628938229365547,1486
133,002245,蔚蓝锂芯,0.002453805144455123,0.03149711514872772,3.1487804878048786,0.07790571082044767,1482
134,000712,锦龙股份,0.002451886469886597,0.026624167625129105,-0.16276041666666669,0.09209251175133057,1486
135,001282,三联锻造,0.002446730622328334,0.03149975635273411,-0.2668965517241379,0.07767458881046117,666
136,002888,惠威科技,0.0024413165177210407,0.030915112112214746,-0.017257039055404134,0.07896838636261849,1486
137,000007,全新好,0.0024411172518248726,0.024384951435755906,0.9300911854103342,0.10010752977122757,245
138,002903,宇环数控,0.00243427198265509,0.02943474030055533,0.6168478260869565,0.0827006441299964,1486
139,002629,仁智股份,0.002433877534811701,0.03184115159390566,1.5653846153846154,0.07643811272446381,1484
140,002164,宁波东力,0.002433505933558099,0.031737208487758066,2.771052631578948,0.07667674787770862,1486
141,000029,深深房Ａ,0.0024326263499420005,0.027748492682297017,1.2260869565217392,0.08766697268186995,1282
142,002033,丽江股份,0.002425247177145503,0.022377422668170797,0.49999999999999983,0.10837920046061097,1486
143,000802,北京文化,0.0024248949628555764,0.02735573211439663,-0.5161290322580645,0.08864302928231321,1484
144,002378,章源钨业,0.002424521301376708,0.030024065974330733,4.754716981132075,0.08075259704830012,1486
145,000888,峨眉山Ａ,0.002424406504088628,0.022384802079818036,1.0350609756097562,0.10830591646260095,1486
146,000807,云铝股份,0.002421873591772449,0.026447511974676152,4.876208897485493,0.09157283279014772,1486
147,002575,群兴玩具,0.0024209276056902274,0.02996742624984212,0.06543385490753911,0.08078530286540646,1481
148,000533,顺钠股份,0.0024162315149567123,0.02979924101435692,3.2310469314079424,0.08108365960705512,1486
149,002549,凯美特气,0.0024120888950196545,0.03357297654020779,2.3983870967741936,0.07184614364266688,1486
150,002564,天沃科技,0.002408141909450823,0.02981192542183731,0.6334056399132321,0.08077780537069414,1436
151,002256,兆新股份,0.0023958550904883405,0.031249489626496416,0.4307692307692308,0.07666861504377649,1484
152,002156,通富微电,0.0023799905196364435,0.02926782857979267,1.9739866908650934,0.08131763219631728,1486
153,000711,ST京蓝,0.0023770382361212516,0.029175613971966503,-0.39781021897810226,0.08147346062383598,1483
154,001208,华菱线缆,0.0023762710620933436,0.029469146173874427,4.0681818181818175,0.0806358979005643,1130
155,002885,京泉华,0.0023658939603470154,0.03432474009360721,0.7801544860368392,0.06892678440958246,1486
156,002213,大为股份,0.0023614546574612203,0.033072402675491164,1.1864951768488747,0.07140257333680852,1486
157,002316,亚联发展,0.0023607825546870134,0.03430710315823213,-0.24635761589403968,0.06881322925455262,1482
158,002693,*ST双成,0.0023567373801458226,0.033155840252911725,0.6379310344827587,0.07108061090199201,1475
159,002315,焦点科技,0.0023485513552428546,0.03165522857650958,1.2680829539706628,0.0741915778483952,1486
160,002656,*ST摩登,0.0023425759350080397,0.026222562282734986,-0.32828282828282823,0.08933436442061189,1399
161,001400,江顺科技,0.0023381911822286587,0.04020684057074854,0.24260355029585798,0.05815406406067504,201
162,001389,广合科技,0.0023354529435079758,0.030291557109467387,1.0412000000000001,0.07709913805579999,457
163,002389,航天彩虹,0.002328029803214104,0.02738101138225792,1.167713004484305,0.08502351394961977,1486
164,000908,*ST景峰,0.00232409424168939,0.031048967371559755,0.7447368421052633,0.07485254546076191,1480
165,002270,华明装备,0.002317270360561848,0.026306587024352197,5.810975609756097,0.08808707714219005,1476
166,000981,山子高科,0.002306467441595664,0.029814502666884835,1.7771428571428574,0.07736058747535214,1475
167,000975,山金国际,0.0023057895705790098,0.02286188770271593,1.2832713754646843,0.10085735703727948,1481
168,001269,欧晶科技,0.0022970554036366255,0.032696126070719755,0.3264110756123535,0.07025466560375479,819
169,000514,渝 开 发,0.0022933736716663263,0.028904003691900597,0.11255411255411246,0.0793444982955413,1486
170,002103,广博股份,0.0022880974828360166,0.03229601762320637,0.977687626774848,0.07084766640676773,1486
171,000766,通化金马,0.0022865314525428154,0.030151701303418,2.574468085106383,0.07583424329968452,1486
172,002657,中科金财,0.002278826998057882,0.031780606054731014,0.4359110169491526,0.07170495723503185,1486
173,002582,好想你,0.002278337458607658,0.02733902524591883,0.3855278766310795,0.0833364554190815,1486
174,000612,焦作万方,0.0022734844409748553,0.02809092409392132,2.2390804597701153,0.08093305985141377,1471
175,000572,海马汽车,0.0022698031484191996,0.03159790842995672,2.654450261780105,0.07183396817073151,1484
176,001296,长江材料,0.002252145919638016,0.02751450294551146,-0.08379523964786437,0.08185304761267427,1006
177,002163,海南发展,0.0022414894553596915,0.031130815308959562,1.7504424778761059,0.0720022727677994,1486
178,000505,京粮控股,0.0022408717343372683,0.026156161908979108,0.2545126353790614,0.08567280406564554,1485
179,002403,爱仕达,0.0022391676372217435,0.029536659757122618,0.42321219226260276,0.07580977861526063,1486
180,002570,贝因美,0.0022378300566630437,0.026431572184480855,0.1391465677179963,0.08466503774516193,1486
181,002279,久其软件,0.002231355312206729,0.029625633465588854,0.519672131147541,0.0753184000199868,1486
182,001335,信凯科技,0.0022311859744065833,0.02421954716040733,0.017254901960784365,0.09212335637942863,208
183,000880,潍柴重机,0.00222714048791658,0.0290384996595308,3.54661558109834,0.07669612803792376,1476
184,002290,禾盛新材,0.002223381173319638,0.028972278341260933,11.853707414829659,0.07674167516723064,1484
185,002041,登海种业,0.002218653464928776,0.0264321532370314,0.05929648241206029,0.08393767412866109,1486
186,002689,ST远智,0.0022175508325155083,0.029475062862075064,0.09944751381215466,0.07523481265815327,1485
187,002536,飞龙股份,0.0022157533486112696,0.031437907910578766,4.818,0.07048030533436593,1486
188,001234,泰慕士,0.002209172377131943,0.03191249449470064,0.439516129032258,0.06922593837027675,995
189,000596,古井贡酒,0.0022059371263348938,0.025064548634625778,-0.057121096725057226,0.08801024740128256,1486
190,002535,林州重机,0.0022053883014336276,0.027155487512792023,0.41577060931899645,0.08121335698336274,1483
191,002627,三峡旅游,0.002202401297469814,0.021409809718556518,-0.11495422177009164,0.10286879362411742,1476
192,002354,天娱数科,0.0022014687766783725,0.033681116980846616,1.3554006968641112,0.06536210713944784,1484
193,002208,合肥城建,0.0021996616330826977,0.029029083918321867,1.454680534918276,0.0757744074622475,1476
194,002232,启明信息,0.0021966726252989456,0.031846623556761204,1.1405895691609975,0.06897662546184054,1486
195,002028,思源电气,0.0021946326857815034,0.025923263602571606,15.179061371841158,0.08465881146090704,1486
196,002514,宝馨科技,0.0021865964602969506,0.03232343595148154,-0.05395683453237407,0.06764740182878759,1486
197,002094,青岛金王,0.0021804630765668827,0.030925079344444554,0.5734989648033125,0.07050792181584445,1486
198,001255,博菲电气,0.002178888653496341,0.03396049728702851,0.7470489038785835,0.06415950376346773,819
199,000571,新大洲A,0.002178180204993574,0.025908269534343546,1.6290909090909091,0.08407277846581827,1484
