rank,code,name,momentum,volatility,volume_ratio,turnover_stability,pvt,clv,score,momentum_norm,volatility_norm,volume_ratio_norm,turnover_stability_norm,pvt_norm,clv_norm
1,000408,藏格矿业,0.36085701112097923,-0.02282973439441209,1.1282004176055074,0.7986184803991424,0.06211791241801712,0.912727272727272,85.71309630422007,100.0,66.0157170212265,26.386123690366723,85.66115420116994,35.09160707520573,91.27272727272722
2,000688,国城矿业,0.36085701112097923,-0.03057190148454689,1.2178241523920175,0.7708399647272569,0.10598646995135969,1.0,84.75534908307263,100.0,50.74286127622051,30.092981979010318,77.88748192224733,42.820397603877055,100.0
3,002201,九鼎新材,0.36085701112097923,-0.029654642755312786,1.870131851769374,0.6474300874944883,0.0643645670688626,0.0,83.82519737678447,100.0,52.55232367729562,57.07257848815894,43.351873435413495,35.487424128762875,0.0
4,002300,太阳电缆,0.36085701112097923,-0.050413817214184545,0.7201063005088651,0.6389030181655795,0.43053746769708245,0.25,83.68374520804053,100.0,11.601014669801597,9.507257125501434,40.96561769570607,100.0,25.000000000000007
5,600783,鲁信创投,0.36085701112097923,-0.024829743404153674,1.1337960706161614,0.6019030504357964,0.05774453208783509,1.0,82.50058974183601,100.0,62.07032954264604,26.617561186163186,30.611370303245494,34.3211021310097,100.0
6,002353,杰瑞股份,0.3470086994732288,-0.021805817421235635,1.254224312100166,0.7256041644409588,0.006534759509776094,0.6746835443037967,82.31117293414891,97.33767496565335,68.03558252453156,31.598500958369012,65.2284798771389,25.298931639630023,67.46835443037968
7,000973,佛塑科技,0.35474905591109107,-0.0408969295233242,1.3313876538963116,0.7562093295586702,0.08276693476773378,1.0,81.51762438161754,98.82575129173998,30.374834861455764,34.789994526427,73.79317521498929,38.729565041831684,100.0
8,601208,东材科技,0.36085701112097923,-0.05147734949004068,1.1805229626976725,0.6800783407082635,0.2266770167789777,0.3162055335968385,81.41059922479603,100.0,9.503000658969153,28.550196192141264,52.488316287903146,64.08373534896894,31.62055335968385
9,002837,英维克,0.36085701112097923,-0.036675782953466345,0.7380852482325119,0.7141153706169442,0.05663203970913606,0.2552693208430924,80.89590650585163,100.0,38.70182676041817,10.250870539395017,62.013401032649384,34.125102512075955,25.526932084309244
10,000036,华联控股,0.36085701112097923,-0.0376295689458942,0.49024159438466963,0.541206140315521,0.23191217779628412,0.0,80.86392057267588,100.0,36.820307580533836,0.0,13.625657560653309,65.00606936589836,0.0
11,001359,平安电工,0.36085701112097923,-0.040026837102151755,0.7210285476474587,0.64078730008157,0.15001148938128592,0.5483870967741921,80.81871694961464,100.0,32.09125300106458,9.545401479315933,41.492924131695226,50.576753689576215,54.8387096774192
12,603163,圣晖集成,0.36085701112097923,-0.05311058436976113,2.2059766817088367,0.6883995272819826,0.0509857092249586,0.2729257641921398,80.23015487119666,100.0,6.2811429510068795,70.96319791530851,54.81695681570975,33.13032839545061,27.292576419213987
13,600118,中国卫星,0.36085701112097923,-0.046501797008106395,1.1974313234805585,0.7368414919088393,0.03161910091733154,1.0,79.78478631591915,100.0,19.318197673396508,29.24952988387725,68.37318717748792,29.7183069551124,100.0
14,000510,新金路,0.36085701112097923,-0.050408304083407914,0.8252890490315564,0.654690336346085,0.15618682972926434,1.0,79.28972473887451,100.0,11.611890339375059,13.857639801613026,45.38361609230637,51.66472910241037,100.0
15,603216,梦天家居,0.36085701112097923,-0.03822107395118057,0.8622664052702076,0.6919127429176819,-0.021943420989991504,0.4501992031872524,79.15286539948062,100.0,35.65345461636841,15.387031762256944,55.80011183089128,20.281627581863667,45.01992031872524
16,001203,大中矿业,0.36085701112097923,-0.045702393424089646,0.8339969133925783,0.8048579965717197,-0.024800061164166526,0.7660550458715605,79.14860365197723,100.0,20.895169014700375,14.217799074822612,87.4072501581164,19.778342888602328,76.60550458715605
17,000703,恒逸石化,0.36085701112097923,-0.038719170935683736,0.850197525364479,0.6602598655420708,0.005087357323023912,0.8684210526315773,79.0629833542395,100.0,34.67086623991336,14.887860112919164,46.9422196990968,25.043927396473727,86.84210526315773
18,002046,国机精工,0.36085701112097923,-0.041218976338220255,1.2086623722282097,0.7303364175283023,-0.10508964006031915,0.6823104693140789,78.35058239003935,100.0,29.739537987882294,29.71404864377452,66.55277614539342,5.632873517927269,68.23104693140789
19,002361,神剑股份,0.36085701112097923,-0.046326559265989976,0.49024159438466963,0.5128196504769543,0.19984127549385447,0.0,78.18606072415646,100.0,19.663886512873365,0.0,5.681846891988978,59.35579728269692,0.0
20,000905,厦门港务,0.36085701112097923,-0.052393998213850546,0.9156654549761677,0.7185183240567128,0.036151985528701205,0.8873239436619715,77.86322417018911,100.0,7.694741606354433,17.595628742507127,63.24554451736254,30.516913465601974,88.73239436619717
21,001376,百通能源,0.36085701112097923,-0.045073469681120665,1.0527861967086618,0.5584323092742878,0.06141745792402326,1.0,77.79606804026966,100.0,22.135837355895685,23.26697416508775,18.44631081975934,34.96820055437745,100.0
22,601399,国机重装,0.36085701112097923,-0.054303103380288924,1.0335353819427664,0.7236792712147969,0.025288930671945084,0.5952380952380953,77.61120145825124,100.0,3.9286787625013426,22.470756037734695,64.68980857846887,28.603053511909156,59.52380952380955
23,601869,长飞光纤,0.36085701112097923,-0.05034096375733671,0.7034303708302927,0.713510158517764,0.010154617556747056,0.47514910536779326,77.301219834191,100.0,11.744731580584851,8.817536837710454,61.84403559304719,25.936680545946338,47.51491053677933
24,000657,中钨高新,0.3172858887144601,-0.03768907544964456,0.9559663948534383,0.7552684222370131,0.1380845672142971,0.49218750000000017,77.29390026614584,91.62349224164798,36.70292000195431,19.262484887032286,73.52986722366981,48.47546091261721,49.21875000000002
25,002394,联发股份,0.32284238996803544,-0.035942242838835965,0.8830339831615138,0.6174407411919879,0.1482699432858335,0.4262295081967201,76.48636159619205,92.691724439699,40.14887023332388,16.245983561407222,34.959511771154226,50.26992698442305,42.62295081967201
26,002752,昇兴股份,0.36085701112097923,-0.05629464235181984,1.2134320224193973,0.6377752566473364,0.025338067866014127,1.0,76.38923815381898,100.0,0.0,29.911322472936515,40.65001953505722,28.611710534192998,100.0
27,001270,*ST铖昌,0.36085701112097923,-0.039176938851103585,0.49024159438466963,0.5017835829065773,0.014575794268828685,0.0,76.17801712549405,100.0,33.76783440715841,0.0,2.593461121003199,26.715606287280497,0.0
28,002796,世嘉科技,0.3174193109230672,-0.03969657008954387,1.0340701923557116,0.6745624730608897,0.0810734785853354,0.3034482758620676,74.9436777094691,91.64914253716036,32.74276573414955,22.49287591944685,50.9447295847449,38.43121084832321,30.344827586206762
29,600191,华资实业,0.3061825769332678,-0.03989787458170885,1.0143059299422152,0.7390111079746486,0.11937049374022582,0.2149532710280377,74.92741772194415,89.48889087859831,32.345655411695404,21.67542147927077,68.98034288249045,45.178403476677374,21.495327102803774
30,002738,中矿资源,0.29230997584492646,-0.03055309150434314,1.0642686890728263,0.8264079504714937,0.03918893706572793,0.9191176470588239,74.81750988738638,86.821896221889,50.77996743924614,23.74189269080843,93.43789201175157,31.051965530114607,91.91176470588239
31,601698,中国卫通,0.3063889485005953,-0.043574620197188586,1.6173629421656501,0.6575242060528892,0.14003079837342736,1.0,74.70082325063078,89.52856562047651,25.09259502917561,46.617998237649246,46.17665970349393,48.81834916322491,100.0
32,600721,百花医药,0.2829640344532842,-0.03969239626245354,1.4677638655041865,0.7234565088024165,0.22921820933573678,0.7120000000000004,74.49874852783664,85.02514768174854,32.75099937962801,40.43054601177477,64.62746968281434,64.53144427920404,71.20000000000005
33,000811,冰轮环境,0.30638402269329545,-0.027014594922441234,1.0285290870007955,0.5935650230273959,0.04501882699379837,0.4895833333333317,74.18035715261593,89.52761863860448,57.76030604734038,22.263694527240354,28.27801695596132,32.07907926698687,48.95833333333317
34,600711,盛屯矿业,0.28675165619211523,-0.024511966890492974,1.1764804772195177,0.7212826575980235,0.042358711345328745,0.7199999999999989,74.07818853455842,85.7533144382761,62.697202457656495,28.382998062794,64.0191287964366,31.61041839037983,71.99999999999989
35,603278,大业股份,0.3097191067662126,-0.05629464235181984,1.7075798932603747,0.5565228243774654,0.26208451716724845,1.0,73.56340213409614,90.16878544975295,0.0,50.349392089269564,17.91195146144154,70.32185141733517,100.0
