日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,turnover,code
2025-07-16,5.5,10.17,5.5,7.18,1797099453.0,12702393309.0,2505175252.0,0.7173547844867502,600930
2025-07-17,6.44,6.99,6.34,6.52,1088739260.0,7166192014.0,2505175252.0,0.4345960463767187,600930
2025-07-18,6.49,6.83,6.2,6.65,803896123.0,5302733781.0,2505175252.0,0.32089416593039216,600930
2025-07-21,6.81,7.8,6.6,7.56,1229135665.0,8853885885.0,2505175252.0,0.49063859465269855,600930
2025-07-22,7.7,7.98,7.2,7.73,1178311672.0,8891697068.0,2505175252.0,0.470350994829323,600930
2025-07-23,7.53,7.95,7.31,7.55,930326632.0,7068274329.0,2505175252.0,0.37136189624150096,600930
2025-07-24,7.35,7.4,7.1,7.13,705919027.0,5075998083.0,2505175252.0,0.28178428891808327,600930
2025-07-25,7.05,7.06,6.76,6.77,535084549.0,3661556324.0,2505175252.0,0.2135916633268737,600930
2025-07-28,6.74,6.87,6.71,6.77,274498078.0,1859854752.0,2505175252.0,0.10957240527617985,600930
2025-07-29,6.74,6.75,6.66,6.71,237263552.0,1586056679.0,2505175252.0,0.09470936287215087,600930
2025-07-30,6.68,6.77,6.63,6.69,242902818.0,1622338281.0,2505175252.0,0.09696040937897625,600930
2025-07-31,6.66,6.67,6.5,6.51,258873522.0,1700657443.0,2505175252.0,0.10333549391138565,600930
2025-08-01,6.48,6.63,6.46,6.55,120513330.0,790061273.0,2505175252.0,0.048105748252058815,600930
2025-08-04,6.5,6.51,6.45,6.47,127597729.0,824837442.0,2505175252.0,0.050933653802516486,600930
2025-08-05,6.46,6.53,6.45,6.49,100656498.0,652673865.0,2505175252.0,0.04017942374276656,600930
2025-08-06,6.49,6.5,6.43,6.46,134220532.0,865224501.0,2505175252.0,0.05357730238347413,600930
2025-08-07,6.45,6.46,6.37,6.38,164525209.0,1052743251.0,2505175252.0,0.06567413152778502,600930
2025-08-08,6.38,6.54,6.35,6.49,216162781.0,1400553570.0,2505175252.0,0.08628649066664179,600930
2025-08-11,6.48,6.48,6.4,6.44,131153505.0,842738446.0,2505175252.0,0.05235302595907969,600930
2025-08-12,6.45,6.45,6.4,6.41,95955634.0,615407786.0,2505175252.0,0.038302962606465984,600930
2025-08-13,6.41,6.42,6.38,6.39,110820363.0,708578048.0,2505175252.0,0.04423657103890311,600930
2025-08-14,6.38,6.55,6.38,6.46,225215169.0,1457602443.0,2505175252.0,0.08989996560927227,600930
2025-08-15,6.43,6.47,6.39,6.46,137445531.0,882902346.0,2505175252.0,0.0548646370709078,600930
2025-08-18,6.45,6.5,6.43,6.49,166784011.0,1080148809.0,2505175252.0,0.06657578581252886,600930
2025-08-19,6.48,6.49,6.43,6.44,128651768.0,829538562.0,2505175252.0,0.05135439841874983,600930
2025-08-20,6.45,6.45,6.41,6.43,102520864.0,658160146.0,2505175252.0,0.04092362956170541,600930
2025-08-21,6.44,6.45,6.42,6.43,103511162.0,666064942.0,2505175252.0,0.04131893044902234,600930
2025-08-22,6.42,6.44,6.39,6.44,123891202.0,794196920.0,2505175252.0,0.04945410581598704,600930
2025-08-25,6.44,6.75,6.44,6.72,437009978.0,2884466909.0,2505175252.0,0.17444287686105564,600930
2025-08-26,6.71,6.71,6.61,6.64,202144390.0,1342223051.0,2505175252.0,0.08069071807995012,600930
2025-08-27,6.64,6.88,6.61,6.65,405572011.0,2741119810.0,2505175252.0,0.16189366818796916,600930
2025-08-28,6.62,6.65,6.45,6.56,240100141.0,1570018353.0,2505175252.0,0.09584165451431659,600930
2025-08-29,6.53,6.55,6.49,6.51,112534100.0,732801255.0,2505175252.0,0.044920649727063486,600930
2025-09-01,6.51,6.53,6.48,6.5,93117707.0,604432654.0,2505175252.0,0.03717013686992945,600930
2025-09-02,6.5,6.56,6.48,6.5,112369869.0,731241035.0,2505175252.0,0.04485509303602206,600930
2025-09-03,6.49,6.5,6.39,6.4,113580771.0,730430008.0,2505175252.0,0.04533845323169431,600930
2025-09-04,6.39,6.42,6.34,6.37,93568532.0,596504541.0,2505175252.0,0.03735009433982705,600930
2025-09-05,6.37,6.4,6.32,6.39,75094354.0,477620001.0,2505175252.0,0.029975688902422543,600930
2025-09-08,6.4,6.45,6.39,6.42,63435866.0,407131052.0,2505175252.0,0.025321927457712248,600930
2025-09-09,6.42,6.43,6.37,6.39,63083955.0,403222730.0,2505175252.0,0.025181453852235323,600930
2025-09-10,6.39,6.39,6.35,6.37,54622958.0,347659637.0,2505175252.0,0.021804046625637032,600930
2025-09-11,6.37,6.39,6.34,6.38,72204742.0,459116845.0,2505175252.0,0.02882223187473832,600930
2025-09-12,6.39,6.39,6.35,6.36,59273952.0,377070421.0,2505175252.0,0.02366060097100145,600930
2025-09-15,6.36,6.36,6.33,6.34,52642316.0,333940050.0,2505175252.0,0.02101342648901435,600930
2025-09-16,6.34,6.35,6.32,6.34,57048831.0,361066710.0,2505175252.0,0.022772391254645846,600930
2025-09-17,6.33,6.97,6.32,6.71,535237892.0,3593227727.0,2505175252.0,0.2136528738149933,600930
2025-09-18,6.66,6.66,6.45,6.48,313558534.0,2038643345.0,2505175252.0,0.12516431085995736,600930
2025-09-19,6.45,6.47,6.38,6.4,109169122.0,699401466.0,2505175252.0,0.04357743910843967,600930
