日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,turnover,code
2020-01-02,5.19,5.24,5.09,5.14,14141398.0,72960828.0,972522352.0,0.014540949080417639,600075
2020-01-03,5.13,5.28,5.11,5.22,11515971.0,60013411.0,972522352.0,0.011841343262000419,600075
2020-01-06,5.2,5.27,5.15,5.21,9847976.0,51266706.0,972522352.0,0.010126220728755034,600075
2020-01-07,5.23,5.25,5.17,5.25,7553040.0,39346405.0,972522352.0,0.007766443603550204,600075
2020-01-08,5.23,5.31,5.15,5.17,11603520.0,60503093.0,972522352.0,0.011931365871578446,600075
2020-01-09,5.3,5.31,5.21,5.25,10251014.0,53936446.0,972522352.0,0.010540646165014827,600075
2020-01-10,5.29,5.78,5.29,5.78,16570068.0,93222365.0,972522352.0,0.017038238726260143,600075
2020-01-13,5.78,5.78,5.52,5.68,31643239.0,178474120.0,972522352.0,0.03253728712242492,600075
2020-01-14,5.62,6.16,5.56,5.88,30757464.0,180093692.0,972522352.0,0.03162648543423915,600075
2020-01-16,5.84,5.87,5.54,5.58,21056805.0,119258478.0,972522352.0,0.021651744000224276,600075
2020-01-17,5.48,5.65,5.46,5.47,11011408.0,60943300.0,972522352.0,0.011322524338237524,600075
2020-01-20,5.47,5.54,5.28,5.33,13931641.0,74680597.0,972522352.0,0.01432526560582332,600075
2020-01-21,5.32,5.32,5.19,5.2,9114402.0,47938017.0,972522352.0,0.009371920327852784,600075
2020-01-22,5.16,5.21,5.05,5.17,8508892.0,43609934.0,972522352.0,0.008749302247399657,600075
2020-01-23,5.08,5.1,4.83,4.88,12857112.0,63710246.0,972522352.0,0.0132203768618369,600075
2020-02-03,4.39,4.45,4.39,4.39,8694800.0,38197679.0,972522352.0,0.008940462892312012,600075
2020-02-04,4.1,4.59,4.1,4.46,11794024.0,52119750.0,972522352.0,0.012127252371881732,600075
2020-02-05,4.39,4.63,4.39,4.6,8668618.0,39655737.0,972522352.0,0.008913541146044528,600075
2020-02-06,4.62,5.06,4.61,4.96,17174614.0,84034085.0,972522352.0,0.01765986556985582,600075
2020-02-07,5.0,5.04,4.74,4.86,13394982.0,65271770.0,972522352.0,0.013773443841628022,600075
2020-02-10,4.84,5.26,4.82,5.21,18441889.0,93354616.0,972522352.0,0.018962946159616904,600075
2020-02-11,5.21,5.21,4.97,5.03,12807820.0,64814836.0,972522352.0,0.013169692165594564,600075
2020-02-12,5.0,5.02,4.91,4.98,8386832.0,41661861.0,972522352.0,0.008623793563975586,600075
2020-02-13,4.99,4.99,4.84,4.88,7610068.0,37317669.0,972522352.0,0.007825082872748204,600075
2020-02-14,4.88,4.9,4.82,4.85,5230630.0,25375813.0,972522352.0,0.005378416227907942,600075
2020-02-17,4.9,5.14,4.9,5.1,14660707.0,73715310.0,972522352.0,0.015074930637686773,600075
2020-02-18,5.1,5.25,5.03,5.23,18626545.0,96353571.0,972522352.0,0.01915281943051937,600075
2020-02-19,5.16,5.2,5.12,5.13,11048900.0,56905223.0,972522352.0,0.011361075637262063,600075
2020-02-20,5.13,5.18,5.02,5.17,10584397.0,54122388.0,972522352.0,0.010883448568799579,600075
2020-02-21,5.18,5.18,5.08,5.12,10314942.0,52879741.0,972522352.0,0.010606380386823233,600075
2020-02-24,5.1,5.16,5.04,5.13,10090623.0,51433288.0,972522352.0,0.010375723477458952,600075
2020-02-25,5.01,5.09,4.88,5.06,12897051.0,64538243.0,972522352.0,0.013261444298403128,600075
2020-02-26,4.99,5.3,4.97,5.14,17966480.0,93386124.0,972522352.0,0.018474104953013975,600075
2020-02-27,5.14,5.26,5.13,5.22,13121609.0,68293342.0,972522352.0,0.013492346960473769,600075
2020-02-28,5.0,5.12,4.88,4.89,14674241.0,73103064.0,972522352.0,0.015088847027343182,600075
2020-03-02,4.93,5.07,4.93,5.03,9373363.0,47144066.0,972522352.0,0.009638198012337304,600075
2020-03-03,5.09,5.25,5.05,5.24,17815191.0,92286834.0,972522352.0,0.018318541433379826,600075
2020-03-04,5.2,5.44,5.18,5.4,21493413.0,115154025.0,972522352.0,0.022100687923314693,600075
2020-03-05,5.44,5.48,5.31,5.38,19139317.0,102866685.0,972522352.0,0.01968007929138065,600075
2020-03-06,5.3,5.41,5.26,5.37,13357774.0,71316773.0,972522352.0,0.013735184566739911,600075
2020-03-09,5.34,5.52,5.12,5.39,19607752.0,103726134.0,972522352.0,0.02016174945457706,600075
2020-03-10,5.32,5.82,5.24,5.68,38128138.0,212607756.0,972522352.0,0.03920541046855034,600075
2020-03-11,5.6,5.65,5.44,5.45,21533318.0,118975548.0,972522352.0,0.02214172039924487,600075
2020-03-12,5.35,5.36,5.05,5.13,20264961.0,105280003.0,972522352.0,0.02083752723865415,600075
2020-03-13,4.81,5.12,4.7,5.05,13778059.0,67953350.0,972522352.0,0.014167344299763714,600075
2020-03-16,5.12,5.14,4.85,4.9,9839474.0,49256997.0,972522352.0,0.010117478513234213,600075
2020-03-17,4.99,4.99,4.52,4.78,10682338.0,50464198.0,972522352.0,0.010984156793961277,600075
2020-03-18,4.83,4.9,4.7,4.7,6770533.0,32621785.0,972522352.0,0.006961827649592161,600075
2020-03-19,4.64,4.83,4.56,4.82,7943829.0,37163575.0,972522352.0,0.008168273956545525,600075
2020-03-20,4.82,4.89,4.75,4.88,6673921.0,32143903.0,972522352.0,0.006862485973998467,600075
2020-03-23,4.73,4.81,4.61,4.63,6769192.0,31903993.0,972522352.0,0.006960448760976138,600075
2020-03-24,4.71,4.74,4.6,4.73,5529750.0,25859290.0,972522352.0,0.005685987564839024,600075
2020-03-25,4.97,4.98,4.82,4.83,7789908.0,37970286.0,972522352.0,0.008010004072379407,600075
2020-03-26,4.88,4.89,4.77,4.77,4676219.0,22614813.0,972522352.0,0.004808340898677875,600075
2020-03-27,4.83,5.1,4.77,4.88,11104656.0,54825236.0,972522352.0,0.011418406967370145,600075
2020-03-30,4.81,4.85,4.62,4.77,7246562.0,34419850.0,972522352.0,0.007451306373676026,600075
2020-03-31,4.83,4.96,4.71,4.93,10161076.0,49335593.0,972522352.0,0.010448167056627199,600075
2020-04-01,4.82,5.01,4.82,4.83,8967908.0,44016275.0,972522352.0,0.009221287286155866,600075
2020-04-02,4.78,4.87,4.7,4.83,7162240.0,34129472.0,972522352.0,0.0073646019397608665,600075
2020-04-03,4.84,4.93,4.81,4.88,6457085.0,31518357.0,972522352.0,0.006639523489327472,600075
2020-04-07,4.93,5.08,4.89,5.07,12296183.0,61676509.0,972522352.0,0.012643599373025002,600075
2020-04-08,5.05,5.05,4.92,4.98,10787918.0,53582707.0,972522352.0,0.011092719851440494,600075
