日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,turnover,code
2020-01-02,4.69,4.75,4.67,4.73,18598421.0,87682292.0,1090242634.0,0.01705897423196899,600531
2020-01-03,4.74,4.91,4.74,4.85,37724710.0,182699881.0,1090242634.0,0.03460212325543673,600531
2020-01-06,5.0,5.13,4.86,5.05,66276621.0,330534850.0,1090242634.0,0.06079070743806557,600531
2020-01-07,4.94,4.95,4.88,4.93,37299175.0,182989225.0,1090242634.0,0.03421181105636344,600531
2020-01-08,5.05,5.08,4.93,5.01,62750530.0,314708419.0,1090242634.0,0.05755648150519859,600531
2020-01-09,4.8,4.83,4.75,4.78,43797759.0,209842611.0,1090242634.0,0.0401724878794274,600531
2020-01-10,4.75,4.78,4.66,4.72,20775762.0,97949398.0,1090242634.0,0.01905609022440779,600531
2020-01-13,4.72,4.72,4.64,4.7,13793545.0,64584781.0,1090242634.0,0.012651812146983054,600531
2020-01-14,4.66,4.75,4.65,4.73,18002322.0,84920496.0,1090242634.0,0.016512216123810104,600531
2020-01-15,4.72,4.73,4.62,4.63,13887977.0,64655830.0,1090242634.0,0.012738427728739876,600531
2020-01-16,4.64,4.7,4.59,4.6,13323650.0,61842266.0,1090242634.0,0.012220811757394548,600531
2020-01-17,4.6,4.64,4.58,4.62,9195107.0,42415291.0,1090242634.0,0.008434000573123799,600531
2020-01-20,4.61,4.63,4.55,4.63,10090372.0,46265873.0,1090242634.0,0.009255161819327642,600531
2020-01-21,4.65,4.7,4.63,4.65,16833180.0,78597916.0,1090242634.0,0.015439847493617645,600531
2020-01-22,4.58,4.61,4.5,4.59,13489848.0,61495988.0,1090242634.0,0.012373253053319872,600531
2020-01-23,4.59,4.62,4.38,4.43,17607013.0,79270344.0,1090242634.0,0.016149628028580654,600531
2020-02-03,3.99,4.13,3.99,3.99,26174763.0,105135681.0,1090242634.0,0.024008199811419224,600531
2020-02-04,3.88,4.01,3.88,3.98,21073133.0,83732394.0,1090242634.0,0.01932884693995557,600531
2020-02-05,3.95,4.15,3.94,4.09,20755919.0,84404678.0,1090242634.0,0.01903788968869108,600531
2020-02-06,4.08,4.15,4.05,4.12,18652750.0,76488959.0,1090242634.0,0.017108806258625913,600531
2020-02-07,4.11,4.18,4.07,4.12,19429883.0,80157309.0,1090242634.0,0.017821613642748077,600531
2020-02-10,4.12,4.25,4.07,4.23,22359659.0,93224450.0,1090242634.0,0.020508883346420297,600531
2020-02-11,4.2,4.27,4.18,4.19,17470166.0,73688104.0,1090242634.0,0.016024108262858487,600531
2020-02-12,4.19,4.27,4.16,4.24,16179140.0,68517037.0,1090242634.0,0.01483994433481309,600531
2020-02-13,4.27,4.32,4.22,4.32,25331503.0,108431427.0,1090242634.0,0.023234738956282645,600531
2020-02-14,4.31,4.4,4.26,4.31,21536724.0,93078558.0,1090242634.0,0.01975406513042307,600531
