日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,turnover,code
2020-01-02,9.3,10.44,9.3,10.44,37074773.0,373374823.0,316604085.0,0.1171013728392039,603608
2020-01-03,10.45,10.82,9.64,9.69,47144005.0,480038315.0,316604085.0,0.14890523285572896,603608
2020-01-06,9.03,10.37,8.73,10.23,42277616.0,410150878.0,316604085.0,0.13353465101374165,603608
2020-01-07,9.81,10.59,9.72,9.82,30824524.0,310817448.0,316604085.0,0.09735984297233562,603608
2020-01-08,9.62,9.63,8.91,8.95,26066668.0,242511789.0,316604085.0,0.08233206466682197,603608
2020-01-09,8.99,9.25,8.66,8.94,18289888.0,163591829.0,316604085.0,0.057768957718912564,603608
2020-01-10,8.97,9.02,8.54,8.69,14185127.0,123668959.0,316604085.0,0.04480399234267619,603608
2020-01-13,8.69,9.56,8.68,9.56,28163968.0,259054588.0,316604085.0,0.08895642644661392,603608
2020-01-14,9.57,10.52,9.37,10.52,39750453.0,404209770.0,316604085.0,0.12555255880542412,603608
2020-01-15,10.49,11.57,10.37,11.3,46222134.0,512932653.0,323617465.0,0.14282954104470227,603608
2020-01-16,10.67,11.28,10.37,10.64,35309556.0,381591734.0,323617465.0,0.10910893205346628,603608
2020-01-17,10.68,11.45,10.42,11.43,30264566.0,332812858.0,323617465.0,0.09351956947070209,603608
2020-01-20,11.1,11.25,10.5,10.74,19984540.0,217937712.0,323617465.0,0.06175358922609446,603608
2020-01-21,10.74,10.88,9.69,9.89,18864553.0,189440359.0,323617465.0,0.05829275314297391,603608
2020-01-22,9.89,10.88,9.41,10.88,20974169.0,214553181.0,323617465.0,0.06481161021392959,603608
2020-01-23,10.81,11.28,9.79,10.3,21614249.0,226737118.0,323617465.0,0.0667895009930938,603608
2020-02-03,9.27,9.27,9.27,9.27,733900.0,6803253.0,323617465.0,0.002267800966798872,603608
2020-02-04,8.34,9.45,8.34,9.2,15489909.0,136664129.0,323617465.0,0.04786487342393588,603608
2020-02-05,9.17,9.45,8.88,9.03,13386762.0,123131110.0,323617465.0,0.041366006003415175,603608
