日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,turnover,code
2020-01-02,8.37,8.52,8.36,8.49,7049533.0,59648797.0,379740000.0,0.0185641043872123,2786
2020-01-03,8.5,8.58,8.43,8.55,7897600.0,67199843.0,379740000.0,0.0207973876863116,2786
2020-01-06,8.48,8.87,8.3,8.72,12319713.0,106517647.0,379740000.0,0.0324424948649075,2786
2020-01-07,8.82,8.86,8.63,8.77,8203095.0,71538099.0,379740000.0,0.021601872333702,2786
2020-01-08,8.76,9.07,8.65,8.91,16210998.0,144174015.0,379740000.0,0.0426897298151366,2786
2020-01-09,8.98,9.14,8.85,9.1,14670065.0,132327313.0,379740000.0,0.0386318665402643,2786
2020-01-10,9.09,9.09,8.78,8.87,11214976.0,99864174.0,379740000.0,0.0295333017327645,2786
2020-01-13,8.87,8.9,8.71,8.85,6925100.0,60910482.0,379740000.0,0.0182364249223152,2786
2020-01-14,8.95,8.95,8.71,8.73,7159376.0,63013875.0,379740000.0,0.0188533628271975,2786
2020-01-15,8.74,8.88,8.71,8.81,6074800.0,53410643.0,379740000.0,0.0159972612840364,2786
2020-01-16,8.81,8.83,8.6,8.61,5906300.0,51407489.0,379740000.0,0.015553536630326,2786
2020-01-17,8.7,8.7,8.42,8.45,5942600.0,50689195.0,379740000.0,0.0156491283509769,2786
2020-01-20,8.42,8.5,8.35,8.48,3847500.0,32471278.0,379740000.0,0.0101319323747827,2786
2020-01-21,8.47,8.49,8.15,8.22,5271259.0,43805785.0,379740000.0,0.0138812318955074,2786
2020-01-22,8.25,8.4,8.02,8.3,5386300.0,44435509.0,379740000.0,0.014184178648549,2786
2020-01-23,8.22,8.41,7.95,8.06,6103251.0,49532187.0,379740000.0,0.0160721835993047,2786
2020-02-03,7.25,7.25,7.25,7.25,567200.0,4112200.0,379740000.0,0.0014936535524306,2786
2020-02-04,6.53,6.93,6.53,6.67,11726403.0,78370603.0,379740000.0,0.0308800837415073,2786
2020-02-05,6.69,7.15,6.68,7.15,10911681.0,76601815.0,379740000.0,0.0287346105229894,2786
2020-02-06,7.12,7.21,7.02,7.17,7078381.0,50510105.0,379740000.0,0.0186400721546321,2786
2020-02-07,7.13,7.18,7.06,7.17,5904459.0,42005078.0,379740000.0,0.0155486885763943,2786
2020-02-10,7.26,7.28,7.16,7.25,4921210.0,35524211.0,379740000.0,0.0129594196028861,2786
2020-02-11,7.31,7.98,7.27,7.98,5147810.0,39709420.0,379740000.0,0.0135561436772528,2786
2020-02-12,8.08,8.38,7.72,7.88,17950010.0,143424967.0,379740000.0,0.0472692105124558,2786
2020-02-13,7.76,7.88,7.62,7.65,9521200.0,73301756.0,379740000.0,0.0250729446463369,2786
2020-02-14,7.63,7.77,7.55,7.66,6339500.0,48576992.0,379740000.0,0.0166943171643756,2786
2020-02-17,7.59,7.92,7.59,7.87,8160400.0,63587974.0,379740000.0,0.0214894401432559,2786
2020-02-18,7.82,8.18,7.81,8.17,11828735.0,94902505.0,379740000.0,0.0311495628587981,2786
2020-02-19,8.16,8.25,8.04,8.05,9316300.0,75741832.0,379740000.0,0.0245333649339021,2786
2020-02-20,8.09,8.45,8.0,8.3,11625954.0,95781272.0,379740000.0,0.030615563280139,2786
2020-02-21,8.5,8.85,8.23,8.55,16547500.0,141149149.0,379740000.0,0.0435758676989519,2786
2020-02-24,8.78,9.41,8.51,9.41,32401094.0,293744991.0,379740000.0,0.0853244167061673,2786
2020-02-25,9.72,9.72,8.81,9.42,41963553.0,395246263.0,379740000.0,0.1105060120082161,2786
2020-02-26,9.1,9.46,8.87,8.88,21938962.0,198699944.0,379740000.0,0.0577736398588507,2786
2020-02-27,8.88,9.47,8.85,9.15,22889331.0,212680790.0,379740000.0,0.0602763232738189,2786
2020-02-28,8.28,9.35,8.28,9.1,23034933.0,200548270.0,379740000.0,0.0606597487754779,2786
2020-03-02,9.09,9.94,8.88,9.7,27132374.0,256763316.0,379740000.0,0.071449870964344,2786
2020-03-03,9.58,10.55,9.51,10.18,35681049.0,354775479.0,379740000.0,0.0939617870121662,2786
2020-03-04,9.97,10.41,9.9,9.94,23438166.0,236144061.0,379740000.0,0.0617216147890662,2786
2020-03-05,10.22,10.22,9.76,9.78,17945912.0,177774318.0,379740000.0,0.0472584189182071,2786
2020-03-06,9.58,10.02,9.45,9.69,15759900.0,154579036.0,379740000.0,0.0415018170327065,2786
2020-03-09,9.66,9.67,8.95,8.98,16477252.0,153540660.0,379740000.0,0.0433908779691367,2786
2020-03-10,8.59,9.29,8.59,9.29,13480618.0,120974557.0,379740000.0,0.0354995997261284,2786
2020-03-11,9.29,9.65,9.06,9.06,11729014.0,109810400.0,379740000.0,0.0308869594986043,2786
2020-03-12,8.94,9.26,8.76,8.93,8353000.0,75029806.0,379740000.0,0.0219966292726602,2786
2020-03-13,8.5,8.92,8.41,8.83,9197514.0,79750559.0,379740000.0,0.024220556170011,2786
2020-03-16,8.98,9.06,8.05,8.35,10351800.0,89527993.0,379740000.0,0.0272602306841523,2786
2020-03-17,8.27,8.46,7.78,8.06,8841899.0,71252122.0,379740000.0,0.0232840864802233,2786
2020-03-18,8.17,8.18,7.71,7.76,7470600.0,59710921.0,379740000.0,0.019672934112814,2786
2020-03-19,7.82,8.09,7.63,7.92,6758249.0,52822319.0,379740000.0,0.0177970427134355,2786
2020-03-20,7.98,8.13,7.86,7.99,4844178.0,38671547.0,379740000.0,0.0127565650181703,2786
2020-03-23,7.81,8.07,7.64,7.71,6037019.0,47591387.0,379740000.0,0.0158977695265181,2786
2020-03-24,7.84,7.89,7.43,7.86,7008800.0,54223419.0,379740000.0,0.0184568388897666,2786
2020-03-25,8.03,8.06,7.91,8.0,5359111.0,42766738.0,379740000.0,0.0141125796597672,2786
2020-03-26,7.96,7.97,7.76,7.77,4654210.0,36527434.0,379740000.0,0.0122563069468583,2786
2020-03-27,7.86,7.87,7.63,7.64,3799437.0,29407696.0,379740000.0,0.0100053641965555,2786
2020-03-30,7.61,7.61,7.2,7.3,5859518.0,42912017.0,379740000.0,0.0154303418128192,2786
2020-03-31,7.37,7.45,7.1,7.14,6001200.0,43341013.0,379740000.0,0.0158034444620003,2786
2020-04-01,7.09,7.23,7.04,7.14,4444619.0,31824979.0,379740000.0,0.0117043740453994,2786
2020-04-02,7.1,7.34,7.07,7.32,4519246.0,32592337.0,379740000.0,0.0119008953494496,2786
2020-04-03,7.3,7.4,7.22,7.25,3625200.0,26470047.0,379740000.0,0.009546531837573,2786
2020-04-07,7.38,7.49,7.32,7.47,4788000.0,35666643.0,379740000.0,0.0126086269552851,2786
2020-04-08,7.88,8.22,7.78,8.22,3995860.0,32402489.0,379740000.0,0.0105226207405066,2786
2020-04-09,9.0,9.04,8.31,8.33,23061011.0,198628442.0,379740000.0,0.060728422078264,2786
2020-04-10,8.15,8.15,7.73,7.74,11853310.0,93851997.0,379740000.0,0.0312142781903407,2786
2020-04-13,7.75,7.87,7.71,7.77,5237800.0,40677286.0,379740000.0,0.0137931216095223,2786
2020-04-14,7.79,7.94,7.65,7.91,5464200.0,42560467.0,379740000.0,0.0143893190077421,2786
2020-04-15,7.77,7.77,7.52,7.53,8570127.0,65004068.0,379740000.0,0.0225684073313319,2786
2020-04-16,7.51,7.51,7.34,7.43,4448678.0,33077382.0,379740000.0,0.0117150629377995,2786
2020-04-17,7.47,7.57,7.4,7.43,3894000.0,29138371.0,379740000.0,0.0102543845789224,2786
2020-04-20,7.45,7.5,7.38,7.5,3273210.0,24344183.0,379740000.0,0.0086196081529467,2786
2020-04-21,7.53,7.53,7.35,7.42,3096678.0,22954714.0,379740000.0,0.0081547321851793,2786
2020-04-22,7.38,7.5,7.27,7.5,3019210.0,22391984.0,379740000.0,0.0079507294464633,2786
2020-04-23,7.54,7.54,7.31,7.34,3420300.0,25338425.0,379740000.0,0.0090069521251382,2786
2020-04-24,7.37,7.4,7.12,7.17,4008300.0,28977120.0,379740000.0,0.0105553799968399,2786
2020-04-27,7.18,7.89,7.18,7.89,15230244.0,116281190.0,379740000.0,0.0401070311265602,2786
2020-04-28,7.88,8.13,7.4,8.07,15099391.0,117811445.0,379740000.0,0.0397624453573497,2786
2020-04-29,8.05,8.05,7.42,7.7,6600900.0,51604091.0,379740000.0,0.0173826828882919,2786
2020-04-30,7.7,8.47,7.65,8.47,16842230.0,138984642.0,379740000.0,0.0443520040027387,2786
2020-05-06,8.47,9.3,8.31,8.83,18209646.0,160206488.0,379740000.0,0.0479529309527571,2786
2020-05-07,8.95,9.45,8.5,9.02,19879556.0,176859378.0,379740000.0,0.0523504397745826,2786
2020-05-08,9.06,9.15,8.67,8.7,13311359.0,117646285.0,379740000.0,0.0350538763364407,2786
2020-05-11,8.6,8.71,8.38,8.5,10227900.0,87122290.0,379740000.0,0.0269339548111866,2786
2020-05-12,8.5,8.5,8.2,8.31,8104759.0,67321669.0,379740000.0,0.021342916205825,2786
2020-05-13,8.29,8.42,8.14,8.3,6710200.0,55623482.0,379740000.0,0.0176705114025385,2786
2020-05-14,8.28,8.28,8.07,8.13,4791602.0,39084431.0,379740000.0,0.0126181123926897,2786
2020-05-15,8.29,8.33,8.05,8.06,7081972.0,57903777.0,379740000.0,0.0186495286248485,2786
2020-05-18,8.16,8.29,8.09,8.24,6942502.0,56981562.0,379740000.0,0.0182822510138515,2786
2020-05-19,8.31,8.31,8.07,8.12,6029048.0,49071671.0,379740000.0,0.0158767788486859,2786
2020-05-20,8.16,8.16,7.85,7.9,6182300.0,49147808.0,379740000.0,0.0162803497129615,2786
2020-05-21,7.89,8.08,7.81,7.89,3827800.0,30471428.0,379740000.0,0.0100800547743192,2786
2020-05-22,7.82,7.89,7.6,7.64,4119100.0,31718134.0,379740000.0,0.0108471585821878,2786
2020-05-25,7.68,7.75,7.52,7.57,2807500.0,21363743.0,379740000.0,0.0073932164112287,2786
2020-05-26,7.57,7.72,7.56,7.72,3773200.0,28796729.0,379740000.0,0.0099362721862326,2786
2020-05-27,7.74,7.76,7.62,7.67,2529900.0,19407145.0,379740000.0,0.0066621899194185,2786
